Category,Tool,Slug,Website,Requested Pricing Source,Final Pricing Source,Source Status,Source Scope Status,Locale Pricing Status,Fetch Status,Fetch Method,Current Free Plan,Verified Free Plan,Free Plan Status,Free Plan Safe,Current Starting Price,Verified Starting Price,Starting Price Status,Starting Price Safe,Verified Annual Billing,Annual Billing Status,Annual Billing Safe,Verified Monthly Billing,Monthly Billing Status,Monthly Billing Safe,Current Team / Business Plan,Verified Team / Business Plan,Team / Business Plan Status,Team / Business Plan Safe,Current Enterprise Plan,Verified Enterprise Plan,Enterprise Plan Status,Enterprise Plan Safe,Current Pricing Verified,Checked At,Overall Status,Tool Safe to Auto Apply,Evidence / Notes
Marketing & SEO; Email Marketing; Funnels; Creator Toolkit,Systeme.io,systeme-io,https://systeme.io,https://systeme.io/pricing,https://systeme.io/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,$17/month,CHANGE,YES,Not explicitly verified,REVIEW,NO,$17/month,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:23:07.058Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page explicitly says the free plan never expires, costs nothing, and does not require a credit card. Starting Price: The page identifies Startup at $17/month as the next step after the free plan. Monthly Billing: The page explicitly lists Startup at $17/month."
Marketing & SEO; Email Marketing; Marketing Automation; CRM & Sales,ActiveCampaign,activecampaign,https://www.activecampaign.com,,,SOURCE_MISSING,UNKNOWN,UNKNOWN,ERROR,NONE,Unknown,Not explicitly verified,ERROR,NO,Unknown,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Unknown,Not explicitly verified,ERROR,NO,Unknown,Not explicitly verified,ERROR,NO,Unknown,2026-08-23T08:22:59.431Z,SOURCE_MISSING,NO,No same-domain official pricing/plans/packages page was safely discovered. No same-domain official pricing/plans/packages page was safely discovered. Free Plan: No same-domain official pricing/plans/packages page was safely discovered. Starting Price: No same-domain official pricing/plans/packages page was safely discovered. Annual Billing: No same-domain official pricing/plans/packages page was safely discovered. Monthly Billing: No same-domain official pricing/plans/packages page was safely discovered. Team / Business Plan: No same-domain official pricing/plans/packages page was safely discovered. Enterprise Plan: No same-domain official pricing/plans/packages page was safely discovered.
Productivity; Workspace & Docs; Knowledge Management; Project Management,Notion,notion,https://www.notion.com,https://www.notion.com/pricing,https://www.notion.com/pricing,LOCKED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,"$10 per member / month (Plus plan, monthly billing)",CHANGE,YES,Not explicitly verified,REVIEW,NO,$10 per member / month (Plus plan),CHANGE,YES,Unknown,Business,CHANGE,YES,Unknown,Enterprise,CHANGE,YES,Unknown,2026-08-23T08:23:08.353Z,VERIFIED,NO,Locked official pricing source. Free Plan: The page explicitly lists an ongoing “Free” plan at $0 per member / month and refers to the “Free Plan.” Starting Price: Plus is the standard paid entry plan and is listed at $10 per member / month. Monthly Billing: The Plus plan is explicitly listed at $10 per member / month; the page also offers monthly payment mode. Team / Business Plan: Business is listed as a plan for growing businesses to streamline teamwork and is distinct from Enterprise. Enterprise Plan: Enterprise is explicitly listed with custom pricing and a Contact Sales option.
Productivity; Workspace & Docs; Notes; Knowledge Management,Evernote,evernote,https://evernote.com,https://evernote.com/compare-plans,https://evernote.com/compare-plans,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Enterprise,CHANGE,YES,Unknown,2026-08-23T08:23:11.971Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The comparison explicitly lists a “Free” plan, and the FAQ explains downgrading to Free. Annual Billing: The FAQ says Starter upgrades allow users to choose a “yearly” billing frequency. Complex product pricing requires review: Annual Billing availability was indicated, but no explicit pricing amount for that exact billing context was verified. Monthly Billing: The FAQ says Starter upgrades allow users to choose a “monthly” billing frequency. Complex product pricing requires review: Monthly Billing availability was indicated, but no explicit pricing amount for that exact billing context was verified. Enterprise Plan: The comparison explicitly lists “Enterprise,” and the FAQ says to contact sales to upgrade to the Enterprise plan."
Productivity; Project Management; Workspace & Docs; Automation,ClickUp,clickup,https://clickup.com,https://clickup.com/pricing,https://clickup.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,"$7 per user/month, billed yearly; $10 per user/month, billed monthly",CHANGE,YES,"$7 per user/month, billed yearly",CHANGE,YES,"$10 per user/month, billed monthly",CHANGE,YES,Unknown,"Business: $12 per user/month, billed yearly; $19 per user/month, billed monthly",CHANGE,YES,Unknown,Custom pricing; contact sales,CHANGE,YES,Unknown,2026-08-23T08:23:16.958Z,VERIFIED,YES,"Discovered same-domain official pricing source. Free Plan: The FAQ states: ""The Free Forever Plan offers an unmatched level of functionality"" and ""This is so much more than a trial."" Starting Price: The standard paid entry plan is Unlimited, shown at $7 per user/month billed yearly and $10 per user/month billed monthly. Annual Billing: unlimited yearly price: $7 Per user/month, billed yearly Monthly Billing: unlimited monthly price: $10 Per user/month, billed monthly Team / Business Plan: Business is a separate standard tier between Unlimited and Enterprise, with yearly and monthly prices and organizational features such as dashboards, automation, reporting, and Google SSO. Enterprise Plan: The Enterprise section states: ""Get a custom demo"" and ""Contact sales""."
Productivity; Project Management; Operations; CRM & Sales,Monday.com,monday-com,https://monday.com,https://monday.com/pricing,https://monday.com/pricing,DISCOVERED,GENERIC,REGION_SPECIFIC,OK,HTTP,Unknown,Yes,REVIEW,NO,Unknown,"$9 per seat / month, billed annually",REVIEW,NO,"$9 per seat / month, billed annually",REVIEW,NO,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Enterprise — custom price; get a quote,REVIEW,NO,Unknown,2026-08-23T08:23:25.982Z,REVIEW,NO,"Discovered same-domain official pricing source. Locale: The page states: ""The price is determined by the user's billing country."" Free Plan: The page explicitly lists ""Free $ 0 free forever."" Locale-specific pricing requires review: The page states: ""The price is determined by the user's billing country."" Starting Price: The main plans section lists Basic at ""$ 9 seat / month"" with the total ""billed annually."" Locale-specific pricing requires review: The page states: ""The price is determined by the user's billing country."" Annual Billing: The Basic plan is shown as ""$9 seat / month"" and ""billed annually."" Locale-specific pricing requires review: The page states: ""The price is determined by the user's billing country."" Monthly Billing: Locale-specific pricing requires review: The page states: ""The price is determined by the user's billing country."" Team / Business Plan: Locale-specific pricing requires review: The page states: ""The price is determined by the user's billing country."" Enterprise Plan: The main plans section explicitly lists ""Enterprise custom price"" and ""Get a quote."" Locale-specific pricing requires review: The page states: ""The price is determined by the user's billing country."""
Productivity; Project Management; Tasks & Planning; Kanban,Trello,trello,https://trello.com,https://trello.com/pricing,https://trello.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,$5 USD per user/month if billed annually; $6 USD per user/month if billed monthly,CHANGE,YES,Standard: $5 USD per user/month if billed annually,CHANGE,YES,Standard: $6 USD per user/month if billed monthly,CHANGE,YES,Unknown,Standard — $5 USD per user/month if billed annually ($6 billed monthly),CHANGE,YES,Unknown,"Enterprise — $17.50 USD per user/month, billed annually ($210.00 annual price per user)",CHANGE,YES,Unknown,2026-08-23T08:23:20.165Z,VERIFIED,YES,"Discovered same-domain official pricing source. Free Plan: The page explicitly lists a Free plan: ""$0 USD"" and says it is free for up to 10 collaborators per Workspace. Starting Price: The Standard plan lists $5 USD per user/month billed annually and $6 billed monthly. Annual Billing: Standard is listed at $5 USD per user/month if billed annually. Monthly Billing: Standard is listed at $6 USD per user/month if billed monthly. Team / Business Plan: Standard is described as being for teams that need to manage more work and scale collaboration. Enterprise Plan: The page explicitly lists Enterprise at $17.50 USD per user/month billed annually, with enterprise-grade security and controls."
Productivity; Tasks & Planning; Task Management; Personal Productivity,Todoist,todoist,https://todoist.com,https://www.todoist.com/pricing,https://www.todoist.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Unknown,Business (plus local tax),CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:23:25.714Z,PARTIAL,NO,Discovered same-domain official pricing source. Free Plan: Beginner explicitly says “Start organizing your life for free.” Team / Business Plan: Business is explicitly presented under Teams and includes a shared team workspace and team collaboration features.
Productivity; Writing & Focus; AI Writing; Business Communication,Grammarly,grammarly,https://www.grammarly.com,https://www.grammarly.com/plans,https://www.grammarly.com/plans,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Enterprise — Contact Sales,CHANGE,YES,Unknown,2026-08-23T08:23:36.016Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page explicitly presents an ongoing plan named Free and provides a Create account option. Team / Business Plan: Complex product pricing requires review: The page references a former Business plan and says Pro includes team features, but does not present a distinct current Team or Business pricing tier separate from Pro and Enterprise. Enterprise Plan: The page explicitly presents Enterprise for larger organizations with Contact Sales."
CRM & Sales; CRM (Pipeline & Deals); Marketing Automation; Customer Support,HubSpot,hubspot,https://www.hubspot.com,https://www.hubspot.com/pricing,https://www.hubspot.com/pricing/marketing,LOCKED,PRODUCT_SPECIFIC,GENERIC,OK,PLAYWRIGHT,Unknown,Yes,REVIEW,NO,Unknown,$7/mo/seat (Pay Monthly); $20/mo/seat (Pay Annually),REVIEW,NO,$20/mo/seat (Pay Annually),REVIEW,NO,$7/mo/seat (Pay Monthly),REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Enterprise,REVIEW,NO,Unknown,2026-08-23T08:23:50.969Z,REVIEW,NO,"Locked official pricing source. Free Plan: The Marketing Hub pricing section explicitly lists Free at $0/mo and says it is free for up to 2 users. Pricing source is product-specific and cannot safely update the generic Softbade profile. Starting Price: The Starter plan is the first paid tier and is listed at $7/mo/seat for Pay Monthly and $20/mo/seat for Pay Annually. Pricing source is product-specific and cannot safely update the generic Softbade profile. Annual Billing: Starter shows $20/mo/seat alongside the Pay Annually billing option. Pricing source is product-specific and cannot safely update the generic Softbade profile. Monthly Billing: Starter shows $7/mo/seat alongside the Pay Monthly billing option. Pricing source is product-specific and cannot safely update the generic Softbade profile. Team / Business Plan: Pricing source is product-specific and cannot safely update the generic Softbade profile. Enterprise Plan: The Marketing Hub pricing section explicitly names an Enterprise plan starting at $3,600/mo. Pricing source is product-specific and cannot safely update the generic Softbade profile."
CRM & Sales; CRM (Pipeline & Deals); Sales CRM; Pipeline Management,Pipedrive,pipedrive,https://www.pipedrive.com,https://www.pipedrive.com/th/pricing,https://www.pipedrive.com/th/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,Unknown,US$14 ต่อสิทธิ์ใช้งานต่อเดือน เรียกเก็บเงินรายปี หรือ US$168 ชำระเงินครั้งเดียวต่อสิทธิ์ใช้งาน/ปี,CHANGE,YES,US$14 ต่อสิทธิ์ใช้งานต่อเดือน เมื่อเรียกเก็บเงินรายปี; US$168 ชำระเงินครั้งเดียวต่อสิทธิ์ใช้งาน/ปี,CHANGE,YES,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:23:42.829Z,PARTIAL,NO,Discovered same-domain official pricing source. Starting Price: แผน Lite แสดงราคา US$14 ต่อสิทธิ์ใช้งานต่อเดือน และ US$168 ต่อสิทธิ์ใช้งาน/ปี โดยเรียกเก็บเงินรายปี Annual Billing: แผน Lite ระบุ “US$14 ... ต่อสิทธิ์ใช้งานต่อเดือน เรียกเก็บเงินรายปี” และ “US$168 ... ต่อสิทธิ์ใช้งาน/ปี”
CRM & Sales; CRM (Pipeline & Deals); Sales CRM; Business Software,Zoho CRM,zoho-crm,https://www.zoho.com/crm/,https://www.zoho.com/crm/zohocrm-pricing.html?source_from=crm_home,https://www.zoho.com/crm/zohocrm-pricing.html?source_from=crm_home,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,₹ 800 /user/month,CHANGE,YES,Not explicitly verified,REVIEW,NO,₹ 800 /user/month,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,"₹ 2,400 /user/month",CHANGE,YES,Unknown,2026-08-23T08:23:57.635Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: Zoho CRM Free Edition ... Free forever for 3 users. Starting Price: Standard ₹ 800 /user/month; Small team, getting started. Monthly Billing: Standard ₹ 800 /user/month. Enterprise Plan: Enterprise ₹ 2,400 /user/month; Running a mature sales org."
CRM & Sales; CRM (Pipeline & Deals); Sales CRM; Customer Engagement,Freshsales,freshsales,https://www.freshworks.com/crm/sales/,https://www.freshworks.com/crm/pricing/?utm_medium=home&amp;utm_campaign=hellobar&amp;utm_source=organic,https://www.freshworks.com/crm/pricing/?utm_medium=home&amp;utm_campaign=hellobar&amp;utm_source=organic,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,Unknown,"$9/user/month, billed annually",CHANGE,YES,"$9/user/month, billed annually",CHANGE,YES,Not explicitly verified,REVIEW,NO,Unknown,"Growth — $9/user/month, billed annually",CHANGE,YES,Unknown,"Enterprise — $59/user/month, billed annually",CHANGE,YES,Unknown,2026-08-23T08:23:50.577Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page offers a 21-day trial, but does not explicitly offer an ongoing free plan. Starting Price: Growth is the first listed paid plan at $9/user/month, billed annually. Annual Billing: Growth pricing is explicitly shown as $9/user/month, billed annually. Team / Business Plan: Growth is explicitly described as built for teams and is distinct from the Enterprise plan. Enterprise Plan: Enterprise is explicitly listed at $59/user/month, billed annually."
CRM & Sales; CRM (Pipeline & Deals); Sales CRM; Sales Engagement,Close CRM,close-crm,https://www.close.com,https://close.com/pricing,https://close.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,Unknown,$19 per user / month (monthly billing); $9 per user / month (annual billing),CHANGE,YES,$9 per user / month,CHANGE,YES,$19 per user / month,CHANGE,YES,Unknown,Essentials — $49 per user / month; $35 per user / month (annual billing),CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:24:00.489Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page explicitly offers a free trial, but says that if the user does not upgrade, the account pauses; it does not explicitly name an ongoing Free plan. Starting Price: Solo is the clearly identified entry plan, priced at $19 per user / month monthly or $9 per user / month annually. Annual Billing: The billing selector shows Monthly and Annually, and Solo is listed at $9 per user / month in the annual option. Monthly Billing: The billing selector shows Monthly and Annually, and Solo is listed at $19 per user / month in the monthly option. Team / Business Plan: Essentials is described as “System of action for small teams” and includes “Team collaboration features.”"
CRM & Sales; CRM (Pipeline & Deals); Marketing Automation; Small Business,Keap,keap,https://keap.com,https://keap.com/pricing,https://keap.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,Unknown,"$299/mo, or $2,988/year when billed annually",CHANGE,YES,"$2,988/year",CHANGE,YES,$299/mo,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:24:04.813Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page describes a free trial, but does not explicitly offer an ongoing free plan. Starting Price: Get the entire Keap software platform starting at one low price: Starting at $299/mo. Annual Billing: The pricing section states: Billed at $2,988/year. Monthly Billing: The pricing section states: Billed monthly, starting at $299/mo."
CRM & Sales; Live Chat (Lead Capture); Customer Support; Lead Capture,LiveChat,livechat,https://www.livechat.com,https://www.livechat.com/pricing/,https://www.livechat.com/pricing/,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,Unknown,$19/mo per person billed annually; $25/mo per person billed monthly,CHANGE,YES,$19/mo per person billed annually,CHANGE,YES,$25/mo per person billed monthly,CHANGE,YES,Unknown,$49/mo per person billed annually; $59/mo per person billed monthly,CHANGE,YES,Unknown,Custom pricing; request a call,CHANGE,YES,Unknown,2026-08-23T08:24:11.433Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page explicitly offers a free 14-day trial, but does not explicitly offer or rule out an ongoing free plan. Starting Price: Starter is the first listed paid plan at $19/mo per person billed annually or $25/mo per person billed monthly. Annual Billing: Starter is listed at $19/mo per person billed annually. Monthly Billing: Starter is listed at $25/mo per person billed monthly. Team / Business Plan: Team is explicitly listed as a plan at $49/mo annually or $59/mo monthly per person. Enterprise Plan: Enterprise is explicitly listed with a Request a call flow to talk to Sales, with no public price shown."
CRM & Sales; Chatbot (Sales-first); Live Chat (Lead Capture); Customer Support,Tidio,tidio,https://www.tidio.com,https://www.tidio.com/pricing/,https://www.tidio.com/pricing/,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,$24.17 /mo.,CHANGE,YES,Not explicitly verified,REVIEW,NO,$24.17 /mo.,CHANGE,YES,Unknown,Growth,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:24:12.656Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The comparison table explicitly lists “Free $ 0 / mo.” and the FAQ refers to the ongoing Free plan. Starting Price: The Customer Service comparison lists Starter as the entry paid plan at “$ 24.17 /mo.” Monthly Billing: The pricing selector includes “Monthly” and the Starter price is shown as “$ 24.17 /mo.” Team / Business Plan: Growth is described as delivering smart automation and “seamless collaboration,” and includes user permissions and automatic chat assignment."
CRM & Sales; Chatbot (Sales-first); AI Chatbots; Customer Support,ChatBot.com,chatbot-com,https://www.chatbot.com,https://www.chatbot.com/pricing/,https://www.chatbot.com/pricing/,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,No,MATCH,NO,Unknown,$19 per user / month billed yearly; $25 per user / month billed monthly,CHANGE,YES,$19 per user / month billed yearly,CHANGE,YES,$25 per user / month billed monthly,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Custom pricing,CHANGE,YES,Unknown,2026-08-23T08:24:12.443Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: FAQ: “There is no permanent free tier.” The page offers only a free 14-day trial. Starting Price: FAQ: “ChatBot.com starts at $19 per user/month (billed annually) for the Essential plan”; the page also lists $25 monthly. Annual Billing: The pricing table states “Price per user (billed yearly) $19 $79 Custom.” Monthly Billing: The pricing table states “Price per user (billed monthly) $25 $99 Custom.” Enterprise Plan: The page names an “Enterprise annual plan,” lists its price as “Custom,” and provides “Contact Expert.”"
Design & Creative; Graphic & UI Design; Marketing & SEO; Creator Toolkit,Canva Pro,canva-pro,https://www.canva.com,https://www.canva.com/pricing/,https://www.canva.com/pricing/,LOCKED,UNKNOWN,UNKNOWN,ERROR,PLAYWRIGHT,Unknown,Not explicitly verified,ERROR,NO,Unknown,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Unknown,Not explicitly verified,ERROR,NO,Unknown,Not explicitly verified,ERROR,NO,Unknown,2026-08-23T08:24:28.217Z,ERROR,NO,Locked official pricing source. Playwright rendered page returned too little readable pricing content. Free Plan: Playwright rendered page returned too little readable pricing content. Starting Price: Playwright rendered page returned too little readable pricing content. Annual Billing: Playwright rendered page returned too little readable pricing content. Monthly Billing: Playwright rendered page returned too little readable pricing content. Team / Business Plan: Playwright rendered page returned too little readable pricing content. Enterprise Plan: Playwright rendered page returned too little readable pricing content.
Design & Creative; Graphic & UI Design; Productivity; Developer Tools,Figma,figma,https://www.figma.com,https://www.figma.com/pricing/,https://www.figma.com/pricing/,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,$16 /mo for a Professional Full seat,CHANGE,YES,Not explicitly verified,REVIEW,NO,Professional Full seat: $16 /mo,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,"Enterprise: $90 /mo for a Full seat, $35 /mo for a Dev seat, or $5 /mo for a Collab seat; billed annually",CHANGE,YES,Unknown,2026-08-23T08:24:24.025Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The pricing section explicitly lists “Starter Free” and “Free limited access to Figma products.” Starting Price: Professional is the first paid plan after Starter and lists a Full seat at $16 /mo. Annual Billing: Complex product pricing requires review: Professional shows Monthly and Annual options, but the supplied text provides only the displayed per-month prices and no distinct annual-billing price. Monthly Billing: The Professional section explicitly shows “Monthly” and “Full seat $16 /mo.” Team / Business Plan: Complex product pricing requires review: The supplied pricing plans are Starter, Professional, Organization, and Enterprise; no plan is explicitly named Team or Business, and Organization is not automatically equivalent to Team. Enterprise Plan: The page explicitly names an Enterprise plan and lists its billed-annually seat prices."
Design & Creative; Graphic & UI Design; Creator Toolkit; Marketing & SEO,Envato Elements,envato-elements,https://elements.envato.com,https://elements.envato.com/video-templates/broadcast-packages,https://elements.envato.com/video-templates/broadcast-packages,DISCOVERED,GENERIC,GENERIC,OK,PLAYWRIGHT,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:24:31.354Z,REVIEW,NO,Discovered same-domain official pricing source.
Design & Creative; Graphic & UI Design; Creator Toolkit; Marketing & SEO,Placeit,placeit,https://placeit.net,https://placeit.net/pricing,https://placeit.net/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,Unknown,"From $7.47 /mo; annual option: $8.33 / Month, Save 58%",CHANGE,YES,"$8.33 / Month, Save 58% (ANNUAL / Year)",CHANGE,YES,$7.47 /mo (MONTHLY / Month),CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:24:35.713Z,PARTIAL,NO,"Discovered same-domain official pricing source. Starting Price: Unlimited Subscription From: $7.47 $7.47 /mo Annual Billing: ANNUAL / Year; Just $8.33 / Month, Save 58% Monthly Billing: MONTHLY / Month; $7.47 /mo"
Design & Creative; Video & Motion; Creator Toolkit; AI Image / Video,Motion Array,motion-array,https://motionarray.com,https://motionarray.com/pricing/,https://motionarray.com/pricing/,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Not explicitly verified,REVIEW,NO,Unknown,Teams,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:24:42.510Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: After cancellation, you'll have a free account and will only be able to download free assets. Complex product pricing requires review: The page mentions a free account with access only to free assets after cancellation, but does not explicitly offer an ongoing Free plan. Starting Price: Complex product pricing requires review: Several creator plans are presented—Video Templates, AI Voiceover, and Everything—but no price or standard paid entry plan is identified. Team / Business Plan: Part of a team? Get up to 7 seats with the Teams plan. Teams 2-7 users."
Design & Creative; Video & Motion; Creator Toolkit; AI Image / Video,Storyblocks,storyblocks,https://www.storyblocks.com,,,SOURCE_MISSING,UNKNOWN,UNKNOWN,ERROR,NONE,Unknown,Not explicitly verified,ERROR,NO,Unknown,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Not explicitly verified,ERROR,NO,Unknown,Not explicitly verified,ERROR,NO,Unknown,Not explicitly verified,ERROR,NO,Unknown,2026-08-23T08:24:37.892Z,SOURCE_MISSING,NO,No same-domain official pricing/plans/packages page was safely discovered. No same-domain official pricing/plans/packages page was safely discovered. Free Plan: No same-domain official pricing/plans/packages page was safely discovered. Starting Price: No same-domain official pricing/plans/packages page was safely discovered. Annual Billing: No same-domain official pricing/plans/packages page was safely discovered. Monthly Billing: No same-domain official pricing/plans/packages page was safely discovered. Team / Business Plan: No same-domain official pricing/plans/packages page was safely discovered. Enterprise Plan: No same-domain official pricing/plans/packages page was safely discovered.
Finance Tools; Accounting & Bookkeeping; Small Business; Bookkeeping,QuickBooks,quickbooks,https://quickbooks.intuit.com,https://quickbooks.intuit.com/pricing/,https://quickbooks.intuit.com/pricing/,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Yes,CHANGE,YES,Unknown,$38; promotional price $3.80 / mo for 3 months with 90% off,CHANGE,YES,Not explicitly verified,REVIEW,NO,$3.80 / mo for 3 months with 90% off,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Enterprise,CHANGE,YES,Unknown,2026-08-23T08:24:51.895Z,PARTIAL,NO,"Discovered same-domain official pricing source. Free Plan: The page explicitly labels a plan “Free” and states “Organize your finances for free” and “$0 / mo.” Starting Price: The standard paid entry plan is Simple Start, listed at “$38” and “$3.80 / mo” with 90% off for 3 months. Monthly Billing: Simple Start is explicitly listed at “$3.80 / mo” for the promotional period. Enterprise Plan: The FAQ explicitly refers to “QuickBooks Desktop Enterprise” and “QuickBooks Enterprise.”"
Finance Tools; Accounting & Bookkeeping; Invoicing; Small Business,FreshBooks,freshbooks,https://www.freshbooks.com,https://www.freshbooks.com/pricing,https://www.freshbooks.com/pricing,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,Unknown,$2.30 USD/mo for 3 months; was $23.00 USD/mo,CHANGE,YES,Not explicitly verified,REVIEW,NO,$23.00 USD/mo; limited-time offer of $2.30 USD/mo for 3 months,CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:24:53.339Z,PARTIAL,NO,"Discovered same-domain official pricing source. Starting Price: Lite is the first listed package and is priced at $2.30 USD/mo for 3 months, with $23.00 USD/mo shown as the prior price. Monthly Billing: The page shows Monthly pricing and lists Lite at $23.00 USD/mo, alongside a $2.30 USD/mo limited-time offer."
Finance Tools; Accounting & Bookkeeping; Cloud Accounting; Bookkeeping,Xero,xero,https://www.xero.com,https://www.xero.com/pricing-plans/,https://www.xero.com/pricing-plans/,DISCOVERED,GENERIC,GENERIC,OK,HTTP,Unknown,Not explicitly verified,REVIEW,NO,Unknown,"$1.40 per month for the first 3 months, then $7 per month",CHANGE,YES,Not explicitly verified,REVIEW,NO,"$1.40 per month for the first 3 months, then $7 per month; subscriptions auto-renew monthly",CHANGE,YES,Unknown,Not explicitly verified,REVIEW,NO,Unknown,Not explicitly verified,REVIEW,NO,Unknown,2026-08-23T08:24:52.161Z,PARTIAL,NO,"Discovered same-domain official pricing source. Starting Price: Lite is listed at $1.40 per month for the first 3 months, then $7 per month. Monthly Billing: The page states that Xero subscriptions auto-renew monthly and lists Lite pricing per month."
